ĀQ	阿Q
juéyù	绝育
juéyuán	绝缘
juéyuáncáiliào	绝缘材料
juézhāo	绝招
juézhèng	绝症
juézhǒng	绝种
juéchá	觉察
juéde	觉得
juéwù	觉悟
juéxǐng	觉醒
jiàozhe	觉着
juéjiàng	倔强
juéqǐ	崛起
juéjìn	掘进
juéjìnlǜ	掘进率
juéshìyuè	爵士乐
juéshìyīnyuè	爵士音乐
jiáolà	嚼蜡
jiáoshé	嚼舌
jiáozǐ	嚼子
jūnbèi	军备
jūnbīngzhǒng	军兵种
jūnbù	军部
jūnzhǎng	军长
jūnchē	军车
jūndàyī	军大衣
jūndàichù	军代处
jūnduì	军队
jūnfāng	军方
jūnfèi	军费
jūnfēnqū	军分区
jūnfēngjì	军风纪
jūnfú	军服
jūngǎng	军港
jūngē	军歌
jūngōng	军工
jūnguān	军官
jūnguǎnhuì	军管会
jūnguózhǔyì	军国主义
jūnhào	军号
jūnhuǒ	军火
jūnhuǒkù	军火库
jūnhuǒshāng	军火商
jūnjī	军机
jūnjīchù	军机处
jūnjí	军籍
jūnjì	军纪
jūnjiàn	军舰
jūnjiè	军界
jūnjǐng	军警
jūnkěn	军垦
jūnyuè	军乐
jūnyuèduì	军乐队
jūnyuètuán	军乐团
jūnlǐ	军礼
jūnlì	军力
jūnlièshǔ	军烈属
jūnlíng	军龄
jūnlìng	军令
jūnlìngrúshān	军令如山
jūnlìngzhuàng	军令状
jūnlǚ	军旅
jūnlǜ	军绿
jūnmǎchǎng	军马场
jūnmín	军民
jūnmíngòngjiàn	军民共建
jūnmínliánfáng	军民联防
jūnpǐn	军品
jūnqí	军旗
jūnqū	军区
jūnqūduì	军区队
jūnquán	军权
jūnrén	军人
jūnróng	军容
jūnshī	军师
jūnshì	军事
jūnshìfǎtíng	军事法庭
jūnshìfǎyuàn	军事法院
jūnshìguǎnzhì	军事管制
jūnshìhuà	军事化
jūnshìjīdì	军事基地
jūnshìjiā	军事家
jūnshìkēxué	军事科学
jūnshìwěiyuánhuì	军事委员会
jūnshìxuéxiào	军事学校
jūnshìxùnliàn	军事训练
jūntuán	军团
jūnwēi	军威
jūnwěi	军委
jūnwù	军务
jūnxián	军衔
jūnxiǎng	军饷
jūnxiào	军校
jūnxiè	军械
jūnxièchù	军械处
jūnxīn	军心
jūnxū	军需
jūnxùn	军训
jūnyī	军衣
jūnyī	军医
jūnyíng	军营
jūnyòng	军用
jūnyònglièchē	军用列车
jūnyóu	军邮
jūnyuán	军援
jūnzhèng	军政
jūnzhèngfǔ	军政府
jūnzhí	军职
jūnzhǒng	军种
jūnshǔ	军属
jūnzhuǎn	军转
jūnzhuǎnbàn	军转办
jūnzhuǎnmín	军转民
jūnzhuāng	军装
jūnzìhɑo	军字号
jūnwáng	君王
jūnzǐ	君子
jūnzǐxiédìng	君子协定
jūnděng	均等
jūnfēn	均分
jūnhéng	均衡
jūnhénglùn	均衡论
jūnhéngshuō	均衡说
jūnjià	均价
jūnshì	均势
jūnshù	均数
jūnyún	均匀
jūnliè	皲裂
jūnbǐng	菌柄
jūnféi	菌肥
jūngài	菌盖
jūngēn	菌根
jūnhé	菌核
jūnlèi	菌类
jūnluò	菌落
jūnmiáo	菌苗
jūnmó	菌膜
jūnmù	菌幕
jūnpǔ	菌圃
jūnsī	菌丝
jūnsītǐ	菌丝体
jūntái	菌苔
jūntǐ	菌体
jūnwù	菌物
jūnzhě	菌褶
jūnzhǒng	菌种
jūnzhū	菌株
jùnjié	俊杰
jùnměi	俊美
jùnqiào	俊俏
jùnxiù	俊秀
jùnwáng	郡王
jùnlǐng	峻岭
jùnqiào	峻峭
jùngōng	竣工
kāfēi	咖啡
kāfēibɑ	咖啡吧
kāfēisè	咖啡色
kāshí	喀什
kǎàowòsī	卡奥沃斯
kǎbāshèn	卡巴胂
kǎbèilüègǎng	卡贝略港
kǎbīn	卡宾
kǎbīnqiāng	卡宾枪
qiǎbózi	卡脖子
kǎchē	卡车
káchǐ	卡尺
kǎdài	卡带
kǎdéwòsī	卡德沃思
kǎdílākè	卡迪拉克
kǎēnshāhèěr	卡恩沙赫尔
kǎěrbālā	卡尔巴拉
kǎěrduōfū	卡尔多夫
kǎěrfúlì	卡尔弗利
kǎěrfútè	卡尔弗特
kǎěrjiālǐ	卡尔加里
kǎěrluósī	卡尔罗斯
kǎěrméikè	卡尔梅克
kǎěrsīlǔè	卡尔斯鲁厄
kǎěrsītǎdé	卡尔斯塔德
kǎěrwògé	卡尔沃格
kǎfànjùn	卡范郡
kǎguī	卡规
kǎjièmiáo	卡介苗
qiǎjù	卡具
qiǎké	卡壳
kǎkèsīdùn	卡克斯顿
kǎlāｏｋ	卡拉ＯＫ
kǎlāàokǎi	卡拉奥凯
kǎlābāhè	卡拉巴赫
kǎlādānggé	卡拉当格
kǎlākēlì	卡拉科利
kǎlākètài	卡拉克泰
kǎlāqí	卡拉奇
kǎlèwǎlā	卡勒瓦拉
kǎléiníàogǎng	卡雷尼奥港
kǎlìkǎtè	卡利卡特
kǎlǔsāiěr	卡鲁塞尔
kǎlùlǐ	卡路里
kǎluòjùn	卡洛郡
kǎmǐshénlì	卡米什利
kǎmǔnuòkè	卡姆诺克
kǎnàméisù	卡那霉素
kǎnàtǎkè	卡纳塔克
kǎnuòzhōu	卡诺州
kǎpán	卡盘
kǎpiàn	卡片
kǎpiànchuānkǒngjī	卡片穿孔机
kǎpiànhé	卡片盒
kǎpiànyuèdújī	卡片阅读机
kǎqí	卡其
kǎqián	卡钳
kǎsàbùlánkǎ	卡萨布兰卡
kǎsàmángsī	卡萨芒斯
kǎsēnchéng	卡森城
kǎshì	卡式
kǎsībótè	卡思伯特
kǎsītèlèhā	卡斯特勒哈
kǎsītèlǐ	卡斯特里
kǎsītèluó	卡斯特罗
kǎtǎěr	卡塔尔
kǎtǎhènà	卡塔赫纳
kǎtǎmǎkǎ	卡塔马卡
kǎtǎníyà	卡塔尼亚
kǎtǎnzhāluó	卡坦扎罗
kǎtèěr	卡特尔
kǎtèlàitè	卡特赖特
kǎtōng	卡通
kǎtōnghuà	卡通画
kǎtōngpiàn	卡通片
kǎwéimǎsī	卡维马斯
kǎwéndíshén	卡文迪什
kǎxīōu	卡西欧
kǎzhǐ	卡纸
qiǎzhù	卡住
qiǎzǐ	卡子
kāibàn	开办
kāipì	开辟
kāibiāo	开标
kāicǎi	开采
kāicǎiquán	开采权
kāichǎng	开场
kāichǎngbái	开场白
kāichē	开车
kāichéngbùgōng	开诚布公
kāichéngxiāngjiàn	开诚相见
kāichú	开除
kāichuán	开船
kāichuàng	开创
kāichuàngxìng	开创性
kāichūn	开春
kāidǎo	开导
kāidàochē	开倒车
kāidào	开道
kāidòng	开动
kāiduān	开端
kāifā	开发
kāifāfèi	开发费
kāifālìyòng	开发利用
kāifāqū	开发区
kāifāshāng	开发商
kāifāshì	开发式
kāifāxíng	开发型
kāifāxìng	开发性
kāifāng	开方
kāifánglǜ	开房率
kāifàng	开放
kāifàngshíjiān	开放时间
kāifàngxìtǒng	开放系统
kāifàngxíng	开放型
kāifàngxìng	开放性
kāifēng	开封
kāifù	开赴
kāigé	开革
kāigōng	开工
kāigōnglǜ	开工率
kāigōngbùfàngjiàn	开弓不放箭
kāiguān	开关
kāiguānguì	开关柜
kāiguānhánshù	开关函数
kāiguǎn	开馆
kāiguó	开国
kāiguódàdiǎn	开国大典
kāihòumén	开后门
kāihù	开户
kāihuā	开花
kāihuājiéguǒ	开花结果
kāihuājiēshi	开花结实
kāihuāqī	开花期
kāihuánchàngyǐn	开怀畅饮
kāihuāng	开荒
kāihuì	开会
kāihuǒ	开火
kāijī	开机
kāijià	开价
kāijiān	开间
kāijiě	开解
kāijìn	开禁
kāijú	开局
kāijuàn	开卷
kāijuànyǒuyì	开卷有益
kāijué	开掘
kāikè	开课
kāikěn	开垦
kāikǒu	开口
kāikǒuzi	开口子
kāikuàichē	开快车
kāikuàng	开矿
kāikuò	开阔
kāilǎng	开朗
kāilián	开镰
kāiliè	开列
kāiliè	开裂
kāiliū	开溜
kāilù	开路
kāilùxiānfēng	开路先锋
kāilǜdēng	开绿灯
kāimén	开门
kāiménbànxué	开门办学
kāiménhóng	开门红
kāiménjiànshān	开门见山
kāiménqījiànshì	开门七件事
kāiményīdào	开门揖盗
kāimíng	开明
kāimù	开幕
kāimùcí	开幕词
kāimùdiǎnlǐ	开幕典礼
kāimùshì	开幕式
kāipán	开盘
kāipánjià	开盘价
kāipào	开炮
kāipiào	开票
kāiqiāng	开枪
kāiqiào	开窍
kāisài	开赛
kāishān	开山
kāishānzǔshī	开山祖师
kāishè	开设
kāishǐ	开始
kāishì	开市
kāishuǐ	开水
kāishuō	开说
kāitáiluógǔ	开台锣鼓
kāitiān	开天
kāitiānpìdì	开天辟地
kāitíng	开庭
kāitóu	开头
kāituō	开脱
kāituò	开拓
kāituòxíng	开拓型
kāiwā	开挖
kāiwài	开外
kāiwánxiào	开玩笑
kāiwǎng	开往
kāixì	开戏
kāixiāo	开销
kāixiǎochāi	开小差
kāixīn	开心
kāixíng	开行
kāixué	开学
kāiyán	开颜
kāiyǎn	开眼
kāiyè	开业
kāiyèchē	开夜车
kāiyuánjiéliú	开源节流
kāiyúnjiànrì	开云见日
kāizhá	开闸
kāizhǎn	开展
kāizhǎngōngzuò	开展工作
kāizhàn	开战
kāizhāng	开张
kāizhī	开支
kāizōngmíngyì	开宗明义
kāizúmǎlì	开足马力
kāizuàn	开钻
kǎifūlāwéikè	凯夫拉维克
kǎigē	凯歌
kǎiléishénzhèn	凯雷什镇
kǎimǔlāgǎng	凯姆拉港
kǎiqíkǎiméitè	凯奇凯梅特
kǎisītèlè	凯斯特勒
kǎixuán	凯旋
kǎixuánguīlái	凯旋归来
kǎixuánmén	凯旋门
kǎixuánshì	凯旋式
kǎiqiē	剀切
kǎidāngyǐkāng	慨当以慷
kǎirányǔnnuò	慨然允诺
kǎimó	楷模
kǎishū	楷书
kāndà	刊大
kāndēng	刊登
kānfā	刊发
kānhào	刊号
kānluò	刊落
kānwù	刊物
kānxíng	刊行
kānzǎi	刊载
kāncè	勘测
kānchá	勘查
kānchá	勘察
kāntàn	勘探
kānwùbiǎo	勘误表
kānjiào	勘校
kānchēng	堪称
kānchēngyījué	堪称一绝
kānpéilā	堪培拉
kānpéilāshì	堪培拉市
kǎndàhā	坎大哈
kǎndélā	坎德拉
kǎnkě	坎坷
kǎnpàlā	坎帕拉
kǎndàshān	侃大山
kǎnkǎnértán	侃侃而谈
kǎndàshān	砍大山
kǎndǎo	砍倒
kǎndiào	砍掉
kǎnfá	砍伐
kànbào	看报
kànbìng	看病
kànbuchū	看不出
kànbuchūlái	看不出来
kànbuguàn	看不惯
kànbujiàn	看不见
kànbuqǐ	看不起
kànbuqīng	看不清
kànbushàng	看不上
kànbushàngyǎn	看不上眼
kànbushùnyǎn	看不顺眼
kàncáinú	看财奴
kàncàichīfàn	看菜吃饭
kànchē	看车
kànchéng	看成
kànchéng	看承
kànchū	看出
kànchuān	看穿
kàndài	看待
kàndào	看到
kàndechū	看得出
kàndeguòér	看得过儿
kàndejiàn	看得见
kàndeqǐ	看得起
kàndī	看低
kàndiē	看跌
kànfǎ	看法
kànfēngsè	看风色
kànfēngshǐduò	看风使舵
kànfēngshuǐ	看风水
kàngù	看顾
kànguān	看官
kānguǎn	看管
kànguò	看过
kànhǎo	看好
kānhù	看护
kānjiā	看家
kānjiābénlǐng	看家本领
kānjiāgǒu	看家狗
kānjiāxì	看家戏
kànjiàn	看见
kànkāi	看开
kànkɑn	看看
kànkè	看客
kànlái	看来
kànlekàn	看了看
kānmén	看门
kānménrén	看门人
kànpò	看破
kànpòhóngchén	看破红尘
kànqí	看齐
kànqǐlái	看起来
kānqīng	看青
kànqīng	看轻
kànqīng	看清
kànrènɑo	看热闹
kànrénméijié	看人眉睫
kànrénxiàcài	看人下菜
kànrényǎnsè	看人眼色
kànshàng	看上
kànshàngqù	看上去
kānshǒu	看守
kānshǒunèigé	看守内阁
kānshǒusuǒ	看守所
kānshǒuzhèngfǔ	看守政府
kànshū	看书
kànsǐ	看死
kànsì	看似
kàntái	看台
kàntóu	看头
kàntòu	看透
kànwàng	看望
kànxiàng	看相
kànxiàohuɑ	看笑话
kānyā	看押
kānyàngzi	看样子
kànyīsheng	看医生
kànzhǎng	看涨
kànzhòng	看中
kànzhòng	看重
kànzhūchéngbì	看朱成碧
kànzóuyǎn	看走眼
kànzuò	看作
kànzuò	看座
kànzuò	看做
kāngcǎiēn	康采恩
kāngfù	康复
kānggélǐfū	康格里夫
kānglè	康乐
kānglèqiú	康乐球
kāngsītuōkè	康斯托克
kāngyǒuwéi	康有为
kāngzhuāngdàdào	康庄大道
kāngkǎi	慷慨
kāngkǎibēigē	慷慨悲歌
kāngkǎichéncí	慷慨陈词
kāngkǎijīáng	慷慨激昂
kāngkǎijiěnáng	慷慨解囊
kāngtārénzhīkǎi	慷他人之慨
kāngcàibànniánliáng	糠菜半年粮
kángdàhuó	扛大活
kánghuó	扛活
kángkáng	扛扛
kàngbào	抗暴
kàngbìng	抗病
kàngchénzǒusú	抗尘走俗
kàngdà	抗大
kàngdúxuèqīng	抗毒血清
kànggānrǎo	抗干扰
kànggānrǎoxìng	抗干扰性
kànghán	抗寒
kànghàn	抗旱
kànghéng	抗衡
kànghóng	抗洪
kànghóngjiùzāi	抗洪救灾
kànghuàixuèsuān	抗坏血酸
kàngjī	抗击
kàngjù	抗拒
kàngjùcóngyán	抗拒从严
kàngjūn	抗菌
kàngjūnjì	抗菌剂
kàngjūnsù	抗菌素
kàngjūnxuèqīng	抗菌血清
kànglāqiángdù	抗拉强度
kànglào	抗涝
kàngměiyuáncháo	抗美援朝
kàngmóxìng	抗磨性
kàngrèhéjīn	抗热合金
kàngrì	抗日
kàngrìjiùwáng	抗日救亡
kàngrìzhànzhēng	抗日战争
kàngshēngsù	抗生素
kàngshuì	抗税
kàngtǐ	抗体
kàngxuèqīng	抗血清
kàngyāqiángdù	抗压强度
kàngyì	抗议
kàngyù	抗御
kàngzāi	抗灾
kàngzhàn	抗战
kàngzhāngqiángdù	抗张强度
kàngzhèn	抗震
kàngzhēng	抗争
kàngdānér	炕单儿
kàngguì	炕柜
kàngtóu	炕头
kǎobōshénbǎo	考波什堡
kǎochá	考查
kǎochá	考察
kǎocháduì	考察队
kǎochátuán	考察团
kǎochǎng	考场
kǎofēn	考分
kǎogǔ	考古
kǎohé	考核
kǎojì	考绩
kǎojiu	考究
kǎojù	考据
kǎojùxué	考据学
kǎojuàn	考卷
kǎoliàng	考量
kǎolǜ	考虑
kǎopíng	考评
kǎoqī	考期
kǎoqín	考勤
kǎoqū	考区
kǎoqǔ	考取
kǎoshàng	考上
kǎoshēng	考生
kǎoshì	考试
kǎotí	考题
kǎoyàn	考验
kǎozhèng	考证
kǎobèi	拷贝
kǎodǎ	拷打
kǎoyān	烤烟
kàoláo	犒劳
kàoshǎng	犒赏
kàoàn	靠岸
kàobiān	靠边
kàobiānzhàn	靠边站
kàodezhù	靠得住
kàojìn	靠近
kàomó	靠模
kàoshān	靠山
kàoshānchīshān	靠山吃山
kējuānzáshuì	苛捐杂税
kēkè	苛刻
kēqiú	苛求
kēzhèměngyúhǔ	苛政猛于虎
kēěrkèzī	柯尔克孜
kēkè	柯克
kēlè	柯勒
kēbān	科班
kēbānchūshēn	科班出身
kēbùduōshěng	科布多省
kēzhǎng	科长
kēchù	科处
kēdà	科大
kēdélíngdùn	科德灵顿
kēdílèlā	科迪勒拉
kēdíyàkè	科迪亚克
kēēnbógé	科恩伯格
kēěrkèlāfū	科尔克拉夫
kēěrlǐqí	科尔里奇
kēhútèpèikè	科胡特佩克
kēhuànxiǎoshuō	科幻小说
kējí	科级
kējì	科技
kējìguǎn	科技馆
kējìjiè	科技界
kējìrényuán	科技人员
kējìshìchǎng	科技市场
kējiào	科教
kējiàopiàn	科教片
kēkèjùn	科克郡
kēluólāduō	科罗拉多
kēluólāduōzhōu	科罗拉多州
kēmáng	科盲
kēmù	科目
kēnàkèlǐ	科纳克里
kēpǔ	科普
kēpǔdúwù	科普读物
kēsēncháshěng	科森察省
kēshì	科室
kēsuǒwòshěng	科索沃省
kētèdíwǎ	科特迪瓦
kētóuxiǎnzú	科头跣足
kēwěi	科委
kēxié	科协
kēxué	科学
kēxuéfēnxī	科学分析
kēxuégòngchǎn	科学共产
kēxuégòngchǎnzhǔyì	科学共产主义
kēxuéguǎnlǐ	科学管理
kēxuéhuà	科学化
kēxuéhuànxiǎngxiǎoshuō	科学幻想小说
kēxuéjìshù	科学技术
kēxuéjìshùgōngyèwěiyuánhuì	科学技术工业委员会
kēxuéjiè	科学界
kēxuéshèhuìzhǔyì	科学社会主义
kēxuéxìng	科学性
kēxuéyánjiū	科学研究
kēxuéyuàn	科学院
kēyán	科研
kēyánchéngguǒ	科研成果
kēyánsuǒ	科研所
kēyányuànsuǒ	科研院所
kēyīngbùlā	科英布拉
kēzīluòfū	科兹洛夫
kēlì	颗粒
kēkēpèngpèng	磕磕碰碰
kēpèng	磕碰
kēshuì	磕睡
kētóu	磕头
kētóupèngnǎo	磕头碰脑
qiàocài	壳菜
kécéng	壳层
kédòu	壳斗
kékǒu	壳口
kélì	壳粒
kétǐ	壳体
kézhì	壳质
kézǐ	壳子
hāichuǎn	咳喘
hāishēngtànqì	咳声叹气
hāitán	咳痰
kě'ài	可爱
kěbēi	可悲
kěbǐjiàgé	可比价格
kěbǐ	可鄙
kěbiàn	可变
kěbù	可不
kěbukěyǐ	可不可以
kěbùshi	可不是
kěcāozuǒquàn	可操左券
kěcāozuò	可操作
kěcāozuòxìng	可操作性
kěcèliáng	可测量
kěchéngzhījī	可乘之机
kěchíxùfāzhǎn	可持续发展
kěchǐ	可耻
kědesōng	可的松
kědǒngdù	可懂度
kědúxìng	可读性
kěwù	可恶
kěfēnxìng	可分性
kěfǒu	可否
kěgēkěqì	可歌可泣
kěgēngdì	可耕地
kěguān	可观
kěguì	可贵
kèhán	可汗
kéhǎo	可好
kěhèn	可恨
kějiàn	可见
kějiàndù	可见度
kějiànguāng	可见光
kějiànyībān	可见一斑
kějìng	可敬
kěkǎyīn	可卡因
kěkànxìng	可看性
kěkào	可靠
kěkàoxìng	可靠性
kěkàoxìnglǐlùn	可靠性理论
kěkǒu	可口
kékǒukělè	可口可乐
kělè	可乐
kělián	可怜
kěnéng	可能
kěnéngxìng	可能性
kěnìfǎnyìng	可逆反应
kěpà	可怕
kěqīn	可亲
kěqīnkějìng	可亲可敬
kěqǔ	可取
kéqǔzhīchù	可取之处
kěránxìng	可燃性
kěróngxìng	可溶性
kěshì	可是
kěshǔ	可数
kěshǔde	可数的
kěsùxìng	可塑性
kěwàng	可望
kěwàngér	可望而
kěwàngébùkějí	可望而不可即
kěwéihùxìng	可维护性
kěwèi	可谓
kěxī	可惜
kěxǐ	可喜
kěxiǎngérzhī	可想而知
kěxiào	可笑
kěxìn	可信
kěxìndù	可信度
kěxíng	可行
kěxíngxìng	可行性
kěxíngxìngyánjiū	可行性研究
kěyāsuōxìng	可压缩性
kěyízhíxìng	可移植性
kěyí	可疑
kěyǐ	可以
kěyǒukěwú	可有可无
kězhe	可着
kěwàng	渴望
kèàikèwēi	克爱克威
kèbǐlǐshěng	克比里省
kèdāngliàng	克当量
kèdízhìshèng	克敌制胜
kèdōngxiàn	克东县
kèěrkèdǎo	克尔克岛
kèfènzǐ	克分子
kèfènzǐnóngdù	克分子浓度
kèfú	克服
kèfúkùnnán	克服困难
kèfù	克复
kègébó	克格勃
kèjǐ	克己
kèjǐfènggōng	克己奉公
kèjǐfùlǐ	克己复礼
kèjìnzhíshǒu	克尽职守
kèkòu	克扣
kèlā	克拉
kèlābiékè	克拉别克
kèlāgēnfú	克拉根福
kèlākēfū	克拉科夫
kèlālìshā	克拉丽莎
kèlālúnsī	克拉伦斯
kèlāmǎyī	克拉马依
kèlāmǎyī	克拉玛依
kèlāmǎyīshì	克拉玛依市
kèláiménsī	克莱门斯
kèláiméntè	克莱门特
kèláiméntīng	克莱门汀
kèláiméngfèilǎng	克莱蒙费朗
kèláipèidá	克莱佩达
kèláisīlè	克莱斯勒
kèlàisīlè	克赖斯勒
kèláng	克郎
kèlángqiú	克郎球
kèlǎng	克朗
kèlǎngpǔdùn	克朗普顿
kèláodíyà	克劳迪娅
kèlèlāxī	克勒拉希
kèléibùsī	克雷布斯
kèléifèiěrdé	克雷费尔德
kèléijiāwén	克雷加文
kèléitǎluó	克雷塔罗
kèlǐmǐyà	克里米亚
kèlǐmǔlíngōng	克里姆林宫
kèlǐpǔsī	克里普斯
kèlǐsīdì	克里斯蒂
kèlǐsīdìnà	克里斯蒂娜
kèlǐsītíng	克里斯廷
kèlǐsītuōfú	克里斯托弗
kèlǐtèdǎo	克里特岛
kèlǐyǎhé	克里雅河
kèlìfūlán	克利夫兰
kèlìfúdé	克利福德
kèlíndùn	克林顿
kèlóng	克隆
kèlǔkèsī	克鲁克斯
kèlǔlúnhé	克鲁伦河
kèlúnwēiěr	克伦威尔
kèluódìyà	克罗地亚
kèluódìyà	克罗蒂亚
kèluófūcí	克罗夫茨
kèluófūtè	克罗夫特
kèluókètè	克罗克特
kèluózhāduō	克罗扎多
kèmàiluówò	克麦罗沃
kèqínkèjiǎn	克勤克俭
kèshānbìng	克山病
kèshénmǐěr	克什米尔
kèshénruòwǎ	克什若瓦
kèshí	克食
kèsīqiánzi	克丝钳子
kètīngbìng	克汀病
kèwéitèsuí	克维特绥
kèxīng	克星
kèyuánzǐ	克原子
kèzhì	克制
kèzīlèzhāěr	克兹勒扎尔
kèbǎn	刻板
kèbó	刻薄
kèbùrónghuǎn	刻不容缓
kèdù	刻度
kèdùchǐ	刻度尺
kègǔ	刻骨
kègǔmíngxīn	刻骨铭心
kèhuà	刻划
kèhuà	刻画
kèjīkègǔ	刻肌刻骨
kèkǔ	刻苦
kèkǔnàiláo	刻苦耐劳
kèwén	刻纹
kèzhōuqiújiàn	刻舟求剑
kècāng	客舱
kèchē	客车
kèduì	客队
kèfáng	客房
kèguān	客观
kèguāncúnzài	客观存在
kèguānhuà	客观化
kèguānxìng	客观性
kèguānzhēnlǐ	客观真理
kèguānzhǔyì	客观主义
kèhù	客户
kèjī	客机
kèliú	客流
kèliúliàng	客流量
kèlún	客轮
kèmǎn	客满
kèpiào	客票
kèqi	客气
kèrén	客人
kèshāng	客商
kèshě	客舍
kèsǐtāxiāng	客死他乡
kètào	客套
kètīng	客厅
kèyùn	客运
kèyùnliàng	客运量
kèzuòjiàoshòu	客座教授
kèzuòlǜ	客座率
kèshǒu	恪守
kèběn	课本
kèchéng	课程
kèjiān	课间
kèjiāncāo	课间操
kèjuǎn	课卷
kèmù	课目
kèqī	课期
kèshí	课时
kètáng	课堂
kètángzuòyè	课堂作业
kètí	课题
kèwài	课外
kèwàihuódòng	课外活动
kèwàizuòyè	课外作业
kèyú	课余
kèzhuō	课桌
kèránchángshì	溘然长逝
kěndìng	肯定
kěnjīyàkè	肯基亚克
kěnqiē	肯切
kěnxīndùngōng	肯辛顿宫
kěnhuāng	垦荒
kěnqū	垦区
kěnzhí	垦殖
kěnqiè	恳切
kěnqǐng	恳请
kěnqiú	恳求
kěntánhuì	恳谈会
kěngǔtou	啃骨头
kēngqì	吭气
kēngshēng	吭声
kēngdào	坑道
kēnghài	坑害
kēngméngguǎipiàn	坑蒙拐骗
kēngmù	坑木
kòngbái	空白
kòngbáichù	空白处
kòngbáidiǎn	空白点
kòngbáifú	空白符
kòngbáixíng	空白行
kōngbāodàn	空包弹
kōngcháng	空肠
kōngchē	空车
kōngchéngjì	空城计
kōngchù	空处
kōngchuàn	空串
kōngdāng	空当
kōngdāngér	空当儿
kōngdāngzǐ	空当子
kōngdǎng	空挡
kōngdàng	空荡
kōngdàngdàng	空荡荡
kōngdàng	空档
kòngdì	空地
kòngdìdǎodàn	空地导弹
kōngtiáo	空调
kōngtiáojī	空调机
kōngtiáoqì	空调器
kōngdòng	空洞
kōngdòngwúwù	空洞无物
kōngduìkōng	空对空
kòngé	空额
kōngfá	空乏
kōngfān	空翻
kōngfàn	空泛
kōngfáng	空防
kōngfángqū	空防区
kōngfáng	空房
kōngfèi	空费
kōngfù	空腹
kōnggǎng	空港
kōnggé	空格
kōnggéfú	空格符
kōnggéjiàn	空格键
kōnggǔzúyīn	空谷足音
kōnghǎn	空喊
kōnghào	空耗
kōnghuà	空化
kōnghuà	空话
kōnghuái	空怀
kōnghuàn	空幻
kōngjì	空际
kōngjì	空寂
kōngjiàzi	空架子
kōngjiān	空间
kōngjiānbō	空间波
kōngjiāndiǎnzhèn	空间点阵
kōngjiāndiànhè	空间电荷
kōngjiāngǎn	空间感
kōngjiānjiégòu	空间结构
kōngjiāntúxíng	空间图形
kōngjiānzhàn	空间站
kōngjiàng	空降
kōngjiàngbīng	空降兵
kōngjiě	空姐
kōngjūn	空军
kōngjūnduì	空军队
kōngjūnjīdì	空军基地
kōngkōng	空空
kōngkōngdàngdàng	空空荡荡
kōngkōngdǎodàn	空空导弹
kōngkōngdòngdòng	空空洞洞
kōngkōngrúyě	空空如也
kōngkǒu	空口
kōngkǒushuōbáihuà	空口说白话
kōngkǒuwúpíng	空口无凭
kōngkuàng	空旷
kōngkuò	空阔
kōngkuò	空廓
kōnglíng	空灵
kōnglùn	空论
kōngluòluò	空落落
kōngmén	空门
kōngmùlù	空目录
kōngnàn	空难
kōngpào	空炮
kōngpíng	空瓶
kōngqì	空气
kōngqìchuí	空气锤
kōngqìwūrǎn	空气污染
kōngqìzhóuchéng	空气轴承
kōngqián	空前
kōngqiánjuéhòu	空前绝后
kōngqiánwèiyǒu	空前未有
kōngqín	空勤
kōngqíng	空情
kòngquē	空缺
kōngshēn	空身
kōngshǒu	空手
kōngshǒudào	空手道
kōngshū	空疏
kōngsù	空速
kōngtán	空谈
kōngtiānfēijī	空天飞机
kōngtóngshù	空桐树
kōngtóu	空头
kōngtóuzhīpiào	空头支票
kōngtóu	空投
kōngwèi	空位
kōngwén	空文
kōngwúsuóyǒu	空无所有
kōngwúyīrén	空无一人
kōngxī	空吸
kōngxí	空袭
kòngxì	空隙
kòngxiá	空暇
kòngxián	空闲
kōngxiǎng	空想
kōngxiǎngjiā	空想家
kōngxīn	空心
kōngxīnbà	空心坝
kōngxīncài	空心菜
kōngxīnzhuān	空心砖
kōngxíng	空行
kōngxū	空虚
kōngxué	空穴
kōngxuèláifēng	空穴来风
kōngyājī	空压机
kōngyán	空言
kōngyóu	空邮
kōngyú	空余
kōngyǔjù	空语句
kōngyù	空域
kōngyùn	空运
kōngzǎi	空载
kōngzhàn	空战
kōngzhèng	空政
kōngzhōng	空中
kōngzhōngbàozhà	空中爆炸
kōngzhōngfēirén	空中飞人
kōngzhōngkèchē	空中客车
kōngzhōnglóugé	空中楼阁
kōngzhōngxiáojiě	空中小姐
kōngzhú	空竹
kōngzhuàn	空转
kòngzi	空子
kōngzìfú	空字符
kǒngfūzǐ	孔夫子
kǒngfǔ	孔府
kǒngjiāo	孔教
kǒnglǎofūzǐ	孔老夫子
kǒngmèngzhīdào	孔孟之道
kǒngquè	孔雀
kǒngquècǎo	孔雀草
kǒngquèkāipíng	孔雀开屏
kǒngquèlán	孔雀蓝
kǒngquèlǜ	孔雀绿
kǒngquèshí	孔雀石
kǒngquèwǔ	孔雀舞
kǒngwǔyǒulì	孔武有力
kǒngzǐ	孔子
kǒngbù	恐怖
kǒngbùfènzǐ	恐怖分子
kǒngbùhuódòng	恐怖活动
kǒngbùzhèng	恐怖症
kǒngbùzhǔyì	恐怖主义
kǒnghuāng	恐慌
kǒngjù	恐惧
kǒngjùgǎn	恐惧感
kǒngjùxīnlǐ	恐惧心理
